Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,57906,0,62,278.2994763539012,18.433375000029173,3745.955832999698,18716.18422961351,16.091341110786452,0.0,62,190,300,400,670,1000,2900,3300,3400,3400,3700
POST,/users,8207,0,43,190.36367612501502,16.06474999994134,3433.0602079999153,0.0,2.280620945950755,0.0,43,87,190,260,480,740,1400,2900,3400,3400,3400
DELETE,/users/1686829333048442627,1,0,20.906207999999538,20.906207999999538,20.906207999999538,20.906207999999538,0.0,0.00027788728475091446,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/users/1686829333048442627,1,0,23.677750000000053,23.677750000000053,23.677750000000053,23.677750000000053,0.0,0.00027788728475091446,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1686829335054469768,1,0,22.006166999997134,22.006166999997134,22.006166999997134,22.006166999997134,0.0,0.00027788728475091446,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1686829335054469768,3,0,21,20.713402666667474,18.6525830000015,22.274833000000882,0.0,0.0008336618542527434,0.0,21,21,22,22,22,22,22,22,22,22,22
DELETE,/users/1686829335133245821,1,0,21.297083000000328,21.297083000000328,21.297083000000328,21.297083000000328,0.0,0.00027788728475091446,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1686829337067750989,1,0,22.228083999998205,22.228083999998205,22.228083999998205,22.228083999998205,0.0,0.00027788728475091446,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1686829337067750989,2,0,19,20.282792000000605,18.90220900000017,21.66337500000104,0.0,0.0005557745695018289,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1686829342083006401,1,0,21.575500000000858,21.575500000000858,21.575500000000858,21.575500000000858,0.0,0.00027788728475091446,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1686829342083006401,1,0,36.43824999999978,36.43824999999978,36.43824999999978,36.43824999999978,0.0,0.00027788728475091446,0.0,36,36,36,36,36,36,36,36,36,36,36
DELETE,/users/1686829342095435119,1,0,21.99654200000367,21.99654200000367,21.99654200000367,21.99654200000367,0.0,0.00027788728475091446,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1686829342095435119,1,0,19.693958000001288,19.693958000001288,19.693958000001288,19.693958000001288,0.0,0.00027788728475091446,0.0,20,20,20,20,20,20,20,20,20,20,20
DELETE,/users/1686829343135006311,1,0,24.762291999998354,24.762291999998354,24.762291999998354,24.762291999998354,0.0,0.00027788728475091446,0.0,25,25,25,25,25,25,25,25,25,25,25
DELETE,/users/1686829347107594937,1,0,60.41916699999916,60.41916699999916,60.41916699999916,60.41916699999916,0.0,0.00027788728475091446,0.0,60,60,60,60,60,60,60,60,60,60,60
DELETE,/users/1686829348125602675,1,0,21.583458000002054,21.583458000002054,21.583458000002054,21.583458000002054,0.0,0.00027788728475091446,0.0,22,22,22,22,22,22,22,22,22,22,22
