Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,12352,0,32,39.98448623105711,18.883208000033846,416.8655419998686,6616.390786917098,3.429808432610153,0.0,32,36,39,42,58,95,140,170,280,410,420
POST,/users,1814,0,26,32.171642211135016,15.83395800003018,258.11162499985585,0.0,0.503697579076653,0.0,26,29,32,34,45,70,110,150,240,260,260
DELETE,/users/1687621161179082061,1,0,23.514082999998465,23.514082999998465,23.514082999998465,23.514082999998465,0.0,0.00027767231481623647,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1687621162995716252,1,0,22.715500000000333,22.715500000000333,22.715500000000333,22.715500000000333,0.0,0.00027767231481623647,0.0,23,23,23,23,23,23,23,23,23,23,23
PUT,/users/1687621162995716252,1,0,23.366125000000793,23.366125000000793,23.366125000000793,23.366125000000793,0.0,0.00027767231481623647,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1687621164946857467,1,0,22.117833999999448,22.117833999999448,22.117833999999448,22.117833999999448,0.0,0.00027767231481623647,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1687621166209084688,1,0,22.312624999997865,22.312624999997865,22.312624999997865,22.312624999997865,0.0,0.00027767231481623647,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1687621166209084688,2,0,21,22.294999500001467,20.809833000001277,23.780166000001657,0.0,0.0005553446296324729,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1687621169979092914,1,0,30.373333000000002,30.373333000000002,30.373333000000002,30.373333000000002,0.0,0.00027767231481623647,0.0,30,30,30,30,30,30,30,30,30,30,30
DELETE,/users/1687621173004064366,1,0,24.090333000000186,24.090333000000186,24.090333000000186,24.090333000000186,0.0,0.00027767231481623647,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1687621174020336660,1,0,26.379916999999864,26.379916999999864,26.379916999999864,26.379916999999864,0.0,0.00027767231481623647,0.0,26,26,26,26,26,26,26,26,26,26,26
PUT,/users/1687621174020336660,1,0,22.773958000001926,22.773958000001926,22.773958000001926,22.773958000001926,0.0,0.00027767231481623647,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1687621176292846015,1,0,21.53416699999866,21.53416699999866,21.53416699999866,21.53416699999866,0.0,0.00027767231481623647,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1687621178034670559,1,0,23.308833000001528,23.308833000001528,23.308833000001528,23.308833000001528,0.0,0.00027767231481623647,0.0,23,23,23,23,23,23,23,23,23,23,23
PUT,/users/1687621178034670559,2,0,22,22.423437499998755,21.67087499999809,23.17599999999942,0.0,0.0005553446296324729,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1687621180101865473,1,0,25.89316699999955,25.89316699999955,25.89316699999955,25.89316699999955,0.0,0.00027767231481623647,0.0,26,26,26,26,26,26,26,26,26,26,26
PUT,/users/1687621180101865473,1,0,22.35266599999619,22.35266599999619,22.35266599999619,22.35266599999619,0.0,0.00027767231481623647,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1687621183069014979,1,0,21.11595799999577,21.11595799999577,21.11595799999577,21.11595799999577,0.0,0.00027767231481623647,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/users/1687621183069014979,4,0,23,24.474979249998086,21.76466699999935,28.480332999997415,0.0,0.0011106892592649459,0.0,25,25,28,28,28,28,28,28,28,28,28
DELETE,/users/1687621184039107011,1,0,30.985958999998786,30.985958999998786,30.985958999998786,30.985958999998786,0.0,0.00027767231481623647,0.0,31,31,31,31,31,31,31,31,31,31,31
DELETE,/users/1687621186107798986,1,0,24.413000000002683,24.413000000002683,24.413000000002683,24.413000000002683,0.0,0.00027767231481623647,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1687621190092424306,1,0,21.554333000004533,21.554333000004533,21.554333000004533,21.554333000004533,0.0,0.00027767231481623647,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1687621191106768464,1,0,22.476457999999866,22.476457999999866,22.476457999999866,22.476457999999866,0.0,0.00027767231481623647,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1687621191106768464,2,0,22.33470899999901,23.248063000000485,22.33470899999901,24.16141700000196,0.0,0.0005553446296324729,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1687621192101645925,1,0,31.727625000002035,31.727625000002035,31.727625000002035,31.727625000002035,0.0,0.00027767231481623647,0.0,32,32,32,32,32,32,32,32,32,32,32
DELETE,/users/1687621192211792470,1,0,19.76037500000416,19.76037500000416,19.76037500000416,19.76037500000416,0.0,0.00027767231481623647,0.0,20,20,20,20,20,20,20,20,20,20,20
PUT,/users/1687621192211792470,3,0,21,22.106402666665304,20.27895799999868,25.348000000001036,0.0,0.0008330169444487095,0.0,21,21,25,25,25,25,25,25,25,25,25
DELETE,/users/1687621193095087417,1,0,24.310958000000937,24.310958000000937,24.310958000000937,24.310958000000937,0.0,0.00027767231481623647,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1687621194202289028,1,0,23.977834000000087,23.977834000000087,23.977834000000087,23.977834000000087,0.0,0.00027767231481623647,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1687621199183233344,1,0,20.259249999980966,20.259249999980966,20.259249999980966,20.259249999980966,0.0,0.00027767231481623647,0.0,20,20,20,20,20,20,20,20,20,20,20
PUT,/users/1687621199183233344,4,0,21,21.392708499995194,20.159415999998487,23.215041999975483,0.0,0.0011106892592649459,0.0,21,21,23,23,23,23,23,23,23,23,23
DELETE,/users/1687621202189756543,1,0,21.456207999989374,21.456207999989374,21.456207999989374,21.456207999989374,0.0,0.00027767231481623647,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/users/1687621202189756543,4,0,22,26.71453125000589,19.895000000019536,32.989374999999654,0.0,0.0011106892592649459,0.0,32,32,33,33,33,33,33,33,33,33,33
DELETE,/users/1687621202306977690,1,0,21.057583000001046,21.057583000001046,21.057583000001046,21.057583000001046,0.0,0.00027767231481623647,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/users/1687621202306977690,1,0,22.350333000005662,22.350333000005662,22.350333000005662,22.350333000005662,0.0,0.00027767231481623647,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1687621203201478205,1,0,20.755790999999135,20.755790999999135,20.755790999999135,20.755790999999135,0.0,0.00027767231481623647,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1687621204206032230,1,0,25.848291000002632,25.848291000002632,25.848291000002632,25.848291000002632,0.0,0.00027767231481623647,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1687621206233493451,1,0,21.640124999997568,21.640124999997568,21.640124999997568,21.640124999997568,0.0,0.00027767231481623647,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1687621210214767806,1,0,23.956790999989153,23.956790999989153,23.956790999989153,23.956790999989153,0.0,0.00027767231481623647,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/users/1687621210214767806,1,0,20.047250000004624,20.047250000004624,20.047250000004624,20.047250000004624,0.0,0.00027767231481623647,0.0,20,20,20,20,20,20,20,20,20,20,20
DELETE,/users/1687621211298757267,1,0,23.14191600000015,23.14191600000015,23.14191600000015,23.14191600000015,0.0,0.00027767231481623647,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1687621212359448774,1,0,21.11079100001234,21.11079100001234,21.11079100001234,21.11079100001234,0.0,0.00027767231481623647,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/users/1687621212359448774,1,0,19.163249999991194,19.163249999991194,19.163249999991194,19.163249999991194,0.0,0.00027767231481623647,0.0,19,19,19,19,19,19,19,19,19,19,19
DELETE,/users/1687621213262125412,1,0,33.84933399999568,33.84933399999568,33.84933399999568,33.84933399999568,0.0,0.00027767231481623647,0.0,34,34,34,34,34,34,34,34,34,34,34
DELETE,/users/1687621214272155725,1,0,21.72758300000055,21.72758300000055,21.72758300000055,21.72758300000055,0.0,0.00027767231481623647,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1687621214272155725,4,0,22,25.24470824999625,20.600665999992884,34.335624999997094,0.0,0.0011106892592649459,0.0,24,24,34,34,34,34,34,34,34,34,34
DELETE,/users/1687621214358226236,1,0,24.268833000007817,24.268833000007817,24.268833000007817,24.268833000007817,0.0,0.00027767231481623647,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/users/1687621214358226236,1,0,20.197375000009288,20.197375000009288,20.197375000009288,20.197375000009288,0.0,0.00027767231481623647,0.0,20,20,20,20,20,20,20,20,20,20,20
DELETE,/users/1687621215265105671,1,0,30.696124999991525,30.696124999991525,30.696124999991525,30.696124999991525,0.0,0.00027767231481623647,0.0,31,31,31,31,31,31,31,31,31,31,31
PUT,/users/1687621215265105671,1,0,22.616416999994726,22.616416999994726,22.616416999994726,22.616416999994726,0.0,0.00027767231481623647,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1687621219301488422,1,0,23.62991699999384,23.62991699999384,23.62991699999384,23.62991699999384,0.0,0.00027767231481623647,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/users/1687621219301488422,6,0,23,33.124180166666406,19.675124999992022,65.46004100000857,0.0,0.001666033888897419,0.0,33,33,36,36,65,65,65,65,65,65,65
DELETE,/users/1687621221375903136,1,0,24.24499999999341,24.24499999999341,24.24499999999341,24.24499999999341,0.0,0.00027767231481623647,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1687621224338660189,1,0,25.649250000000734,25.649250000000734,25.649250000000734,25.649250000000734,0.0,0.00027767231481623647,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1687621225321507206,1,0,22.45937500001105,22.45937500001105,22.45937500001105,22.45937500001105,0.0,0.00027767231481623647,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1687621226371723724,1,0,26.396667000000207,26.396667000000207,26.396667000000207,26.396667000000207,0.0,0.00027767231481623647,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1687621227350834952,1,0,19.870582999999442,19.870582999999442,19.870582999999442,19.870582999999442,0.0,0.00027767231481623647,0.0,20,20,20,20,20,20,20,20,20,20,20
DELETE,/users/1687621228378510299,1,0,20.925374999990254,20.925374999990254,20.925374999990254,20.925374999990254,0.0,0.00027767231481623647,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/users/1687621228378510299,3,0,22,21.67520800000015,20.57116599999631,22.245166999994126,0.0,0.0008330169444487095,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1687621228468372849,1,0,21.00208299999906,21.00208299999906,21.00208299999906,21.00208299999906,0.0,0.00027767231481623647,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1687621229375479865,1,0,24.48741699998891,24.48741699998891,24.48741699998891,24.48741699998891,0.0,0.00027767231481623647,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/users/1687621229375479865,3,0,20,22.020625000005605,19.422833000007245,26.42975000000547,0.0,0.0008330169444487095,0.0,20,20,26,26,26,26,26,26,26,26,26
DELETE,/users/1687621229378667160,1,0,19.59408400000484,19.59408400000484,19.59408400000484,19.59408400000484,0.0,0.00027767231481623647,0.0,20,20,20,20,20,20,20,20,20,20,20
PUT,/users/1687621229378667160,1,0,27.609707999999955,27.609707999999955,27.609707999999955,27.609707999999955,0.0,0.00027767231481623647,0.0,28,28,28,28,28,28,28,28,28,28,28
DELETE,/users/1687621232379298118,1,0,20.668625000013208,20.668625000013208,20.668625000013208,20.668625000013208,0.0,0.00027767231481623647,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1687621235405085197,1,0,22.24779200000171,22.24779200000171,22.24779200000171,22.24779200000171,0.0,0.00027767231481623647,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1687621235405085197,3,0,22,25.533389000003126,20.06945799999471,34.591042000016614,0.0,0.0008330169444487095,0.0,22,22,35,35,35,35,35,35,35,35,35
DELETE,/users/1687621236456144153,1,0,21.390791999991166,21.390791999991166,21.390791999991166,21.390791999991166,0.0,0.00027767231481623647,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1687621236457176825,1,0,20.541915999999105,20.541915999999105,20.541915999999105,20.541915999999105,0.0,0.00027767231481623647,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1687621236662887041,1,0,30.396292000006042,30.396292000006042,30.396292000006042,30.396292000006042,0.0,0.00027767231481623647,0.0,30,30,30,30,30,30,30,30,30,30,30
DELETE,/users/1687621237425220554,1,0,21.832791000008456,21.832791000008456,21.832791000008456,21.832791000008456,0.0,0.00027767231481623647,0.0,22,22,22,22,22,22,22,22,22,22,22
