Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,54398,0,160.0,542.7863101936879,18.14476899994588,6978.499849000059,10480.55579249237,15.130818302605052,0.0,160,300,500,720,1900,2900,3300,3400,4300,6200,7000
POST,/users,7840,0,120.0,437.32577868124673,16.908684999634715,4473.749091999707,0.0,2.180698104570455,0.0,120,250,400,580,1400,2500,3000,3300,3900,4500,4500
DELETE,/users/1687380030263707700,1,0,22.87644000000011,22.87644000000011,22.87644000000011,22.87644000000011,0.0,0.0002781502684401091,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1687380033279900557,1,0,23.294094000000598,23.294094000000598,23.294094000000598,23.294094000000598,0.0,0.0002781502684401091,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1687380040293634727,2,0,24.264613000003266,24.9174950000004,24.264613000003266,25.570376999997535,0.0,0.0005563005368802181,0.0,26,26,26,26,26,26,26,26,26,26,26
PUT,/users/1687380040293634727,1,0,22.21223200000111,22.21223200000111,22.21223200000111,22.21223200000111,0.0,0.0002781502684401091,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1687380043297738341,1,0,24.896230999999602,24.896230999999602,24.896230999999602,24.896230999999602,0.0,0.0002781502684401091,0.0,25,25,25,25,25,25,25,25,25,25,25
DELETE,/users/1687380043326213654,1,0,26.05812700000243,26.05812700000243,26.05812700000243,26.05812700000243,0.0,0.0002781502684401091,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1687380044307841188,1,0,19.93404099999907,19.93404099999907,19.93404099999907,19.93404099999907,0.0,0.0002781502684401091,0.0,20,20,20,20,20,20,20,20,20,20,20
PUT,/users/1687380044307841188,1,0,20.801954999999595,20.801954999999595,20.801954999999595,20.801954999999595,0.0,0.0002781502684401091,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1687380049325726985,1,0,23.334400000003086,23.334400000003086,23.334400000003086,23.334400000003086,0.0,0.0002781502684401091,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1687380049326220563,1,0,40.217202000000896,40.217202000000896,40.217202000000896,40.217202000000896,0.0,0.0002781502684401091,0.0,40,40,40,40,40,40,40,40,40,40,40
PUT,/users/1687380049326220563,2,0,29,31.57513000000023,28.963323999999346,34.18693600000111,0.0,0.0005563005368802181,0.0,34,34,34,34,34,34,34,34,34,34,34
DELETE,/users/1687380049364836211,1,0,18.452825000000672,18.452825000000672,18.452825000000672,18.452825000000672,0.0,0.0002781502684401091,0.0,18,18,18,18,18,18,18,18,18,18,18
PUT,/users/1687380049364836211,1,0,25.69955999999962,25.69955999999962,25.69955999999962,25.69955999999962,0.0,0.0002781502684401091,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1687380050386178896,1,0,26.19843200000105,26.19843200000105,26.19843200000105,26.19843200000105,0.0,0.0002781502684401091,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1687380051385336197,1,0,29.315239999998965,29.315239999998965,29.315239999998965,29.315239999998965,0.0,0.0002781502684401091,0.0,29,29,29,29,29,29,29,29,29,29,29
DELETE,/users/1687380051413283878,1,0,17.96186600000027,17.96186600000027,17.96186600000027,17.96186600000027,0.0,0.0002781502684401091,0.0,18,18,18,18,18,18,18,18,18,18,18
DELETE,/users/1687380052335723443,1,0,19.661411000001294,19.661411000001294,19.661411000001294,19.661411000001294,0.0,0.0002781502684401091,0.0,20,20,20,20,20,20,20,20,20,20,20
DELETE,/users/1687380053332569563,2,0,27.4516509999998,108.2830494999989,27.4516509999998,189.114447999998,0.0,0.0005563005368802181,0.0,190,190,190,190,190,190,190,190,190,190,190
PUT,/users/1687380053332569563,3,0,28,25.071368333334714,16.342954000002408,30.734912999999864,0.0,0.0008344508053203272,0.0,28,28,31,31,31,31,31,31,31,31,31
DELETE,/users/1687380055406838741,1,0,18.763389999996605,18.763389999996605,18.763389999996605,18.763389999996605,0.0,0.0002781502684401091,0.0,19,19,19,19,19,19,19,19,19,19,19
PUT,/users/1687380055406838741,1,0,24.4751449999967,24.4751449999967,24.4751449999967,24.4751449999967,0.0,0.0002781502684401091,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1687380056418804158,1,0,22.930590999997946,22.930590999997946,22.930590999997946,22.930590999997946,0.0,0.0002781502684401091,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1687380058385491142,1,0,24.778286000000094,24.778286000000094,24.778286000000094,24.778286000000094,0.0,0.0002781502684401091,0.0,25,25,25,25,25,25,25,25,25,25,25
DELETE,/users/1687380059503335313,1,0,176.64020800000202,176.64020800000202,176.64020800000202,176.64020800000202,0.0,0.0002781502684401091,0.0,180,180,180,180,180,180,180,180,180,180,180
DELETE,/users/1687380060464205611,1,0,25.51104600000542,25.51104600000542,25.51104600000542,25.51104600000542,0.0,0.0002781502684401091,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1687380062490380337,3,0,41,41.44301466666415,38.96568900000119,44.157368999997004,0.0,0.0008344508053203272,0.0,41,41,44,44,44,44,44,44,44,44,44
PUT,/users/1687380062490380337,4,0,19,20.028848750003547,16.657461000001206,22.724973000002535,0.0,0.0011126010737604363,0.0,22,22,23,23,23,23,23,23,23,23,23
DELETE,/users/1687380062506014421,1,0,57.57665699999848,57.57665699999848,57.57665699999848,57.57665699999848,0.0,0.0002781502684401091,0.0,58,58,58,58,58,58,58,58,58,58,58
DELETE,/users/1687380062508905502,1,0,41.61313900000607,41.61313900000607,41.61313900000607,41.61313900000607,0.0,0.0002781502684401091,0.0,42,42,42,42,42,42,42,42,42,42,42
DELETE,/users/1687380065524282646,1,0,29.52601500000185,29.52601500000185,29.52601500000185,29.52601500000185,0.0,0.0002781502684401091,0.0,30,30,30,30,30,30,30,30,30,30,30
PUT,/users/1687380065524282646,2,0,20.485819000001015,59.05872599999995,20.485819000001015,97.63163299999889,0.0,0.0005563005368802181,0.0,98,98,98,98,98,98,98,98,98,98,98
DELETE,/users/1687380066683786270,1,0,105.5112689999973,105.5112689999973,105.5112689999973,105.5112689999973,0.0,0.0002781502684401091,0.0,110,110,110,110,110,110,110,110,110,110,110
PUT,/users/1687380066683786270,1,0,98.33295900000394,98.33295900000394,98.33295900000394,98.33295900000394,0.0,0.0002781502684401091,0.0,98,98,98,98,98,98,98,98,98,98,98
DELETE,/users/1687380067603451497,1,0,72.99363399999947,72.99363399999947,72.99363399999947,72.99363399999947,0.0,0.0002781502684401091,0.0,73,73,73,73,73,73,73,73,73,73,73
DELETE,/users/1687380068653228581,1,0,24.232919999995772,24.232919999995772,24.232919999995772,24.232919999995772,0.0,0.0002781502684401091,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1687380068653361965,1,0,19.890819000004,19.890819000004,19.890819000004,19.890819000004,0.0,0.0002781502684401091,0.0,20,20,20,20,20,20,20,20,20,20,20
DELETE,/users/1687380068654043542,1,0,34.2455529999981,34.2455529999981,34.2455529999981,34.2455529999981,0.0,0.0002781502684401091,0.0,34,34,34,34,34,34,34,34,34,34,34
DELETE,/users/1687380068654043555,1,0,25.14093599999967,25.14093599999967,25.14093599999967,25.14093599999967,0.0,0.0002781502684401091,0.0,25,25,25,25,25,25,25,25,25,25,25
DELETE,/users/1687380069602963399,2,0,19.340846999995165,23.03677499999779,19.340846999995165,26.732703000000413,0.0,0.0005563005368802181,0.0,27,27,27,27,27,27,27,27,27,27,27
PUT,/users/1687380069602963399,1,0,25.58297699999912,25.58297699999912,25.58297699999912,25.58297699999912,0.0,0.0002781502684401091,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1687380071794333096,1,0,28.87317700000125,28.87317700000125,28.87317700000125,28.87317700000125,0.0,0.0002781502684401091,0.0,29,29,29,29,29,29,29,29,29,29,29
DELETE,/users/1687380074221982574,1,0,19.304569999995635,19.304569999995635,19.304569999995635,19.304569999995635,0.0,0.0002781502684401091,0.0,19,19,19,19,19,19,19,19,19,19,19
PUT,/users/1687380074221982574,1,0,19.956722999999954,19.956722999999954,19.956722999999954,19.956722999999954,0.0,0.0002781502684401091,0.0,20,20,20,20,20,20,20,20,20,20,20
DELETE,/users/1687380074547633952,1,0,131.72029900000126,131.72029900000126,131.72029900000126,131.72029900000126,0.0,0.0002781502684401091,0.0,130,130,130,130,130,130,130,130,130,130,130
DELETE,/users/1687380074944543484,1,0,96.99584500000213,96.99584500000213,96.99584500000213,96.99584500000213,0.0,0.0002781502684401091,0.0,97,97,97,97,97,97,97,97,97,97,97
DELETE,/users/1687380074945119488,1,0,116.51410399999662,116.51410399999662,116.51410399999662,116.51410399999662,0.0,0.0002781502684401091,0.0,120,120,120,120,120,120,120,120,120,120,120
DELETE,/users/1687380075989137169,1,0,113.1637459999979,113.1637459999979,113.1637459999979,113.1637459999979,0.0,0.0002781502684401091,0.0,110,110,110,110,110,110,110,110,110,110,110
DELETE,/users/1687380077015583490,1,0,25.43523199999953,25.43523199999953,25.43523199999953,25.43523199999953,0.0,0.0002781502684401091,0.0,25,25,25,25,25,25,25,25,25,25,25
PUT,/users/1687380077015583490,2,0,20,24.11498949999924,19.635704000002363,28.594274999996117,0.0,0.0005563005368802181,0.0,29,29,29,29,29,29,29,29,29,29,29
DELETE,/users/1687380078014332349,1,0,26.16669000000371,26.16669000000371,26.16669000000371,26.16669000000371,0.0,0.0002781502684401091,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1687380078762354394,1,0,24.049652999998727,24.049652999998727,24.049652999998727,24.049652999998727,0.0,0.0002781502684401091,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/users/1687380078762354394,1,0,46.52306900000269,46.52306900000269,46.52306900000269,46.52306900000269,0.0,0.0002781502684401091,0.0,47,47,47,47,47,47,47,47,47,47,47
