Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1687375597,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1687375598,1,,Aggregated,0.000000,0.000000,470,470,470,470,470,470,470,470,470,470,470,1,0,465.37795900000043,465.37795900000043,465.37795900000043,465.37795900000043,2.0
1687375599,2,,Aggregated,0.000000,0.000000,470,470,470,470,470,470,470,470,470,470,470,1,0,465.37795900000043,465.37795900000043,465.37795900000043,465.37795900000043,2.0
1687375600,2,,Aggregated,0.000000,0.000000,470,470,470,470,470,470,470,470,470,470,470,2,0,392.5403809999999,428.9591700000002,392.5403809999999,465.37795900000043,2.0
1687375601,3,,Aggregated,0.000000,0.000000,470,470,470,470,470,470,470,470,470,470,470,2,0,392.5403809999999,428.9591700000002,392.5403809999999,465.37795900000043,2.0
1687375602,3,,Aggregated,0.500000,0.000000,390,390,470,470,470,470,470,470,470,470,470,3,0,390.0,390.5868363333337,313.8421690000008,465.37795900000043,2.0
1687375603,4,,Aggregated,0.666667,0.000000,390,390,470,470,470,470,470,470,470,470,470,4,0,310.0,303.49148900000046,42.20544700000062,465.37795900000043,1.5
1687375604,4,,Aggregated,0.500000,0.000000,310,390,390,470,470,470,470,470,470,470,470,5,0,310.0,261.9988860000005,42.20544700000062,465.37795900000043,1.2
1687375605,5,,Aggregated,0.600000,0.000000,96,310,390,390,470,470,470,470,470,470,470,7,0,96,201.3779030000003,38.23888199999992,465.37795900000043,47.0
1687375606,5,,Aggregated,0.666667,0.000000,96,97,310,390,470,470,470,470,470,470,470,9,0,96,173.8647740000002,38.23888199999992,465.37795900000043,72.44444444444444
