Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/staging/users,12675,0,82,117.61639360110597,37.470053999982156,2568.9355600000035,11107.2283234714,3.523040997938441,0.0,82,100,130,160,230,300,420,490,810,2200,2600
POST,/staging/users,1270,0,64,95.48140224409461,35.34672900013902,750.676679999998,160.0,0.3529989796750943,0.0,64,77,100,120,200,250,390,450,640,750,750
DELETE,/staging/users/1686558314855807799,1,0,646.951817999998,646.951817999998,646.951817999998,646.951817999998,25.0,0.0002779519525000742,0.0,650,650,650,650,650,650,650,650,650,650,650
PUT,/staging/users/1686558314855807799,1,0,700.8126310000016,700.8126310000016,700.8126310000016,700.8126310000016,160.0,0.0002779519525000742,0.0,700,700,700,700,700,700,700,700,700,700,700
DELETE,/staging/users/1686558320735794988,1,0,64.07395000000093,64.07395000000093,64.07395000000093,64.07395000000093,25.0,0.0002779519525000742,0.0,64,64,64,64,64,64,64,64,64,64,64
PUT,/staging/users/1686558320735794988,1,0,39.591873000002664,39.591873000002664,39.591873000002664,39.591873000002664,160.0,0.0002779519525000742,0.0,40,40,40,40,40,40,40,40,40,40,40
DELETE,/staging/users/1686558324641403665,1,0,69.543264,69.543264,69.543264,69.543264,25.0,0.0002779519525000742,0.0,70,70,70,70,70,70,70,70,70,70,70
DELETE,/staging/users/1686558336495120257,1,0,57.059642000005795,57.059642000005795,57.059642000005795,57.059642000005795,25.0,0.0002779519525000742,0.0,57,57,57,57,57,57,57,57,57,57,57
DELETE,/staging/users/1686558337754756265,1,0,47.70377300000206,47.70377300000206,47.70377300000206,47.70377300000206,25.0,0.0002779519525000742,0.0,48,48,48,48,48,48,48,48,48,48,48
PUT,/staging/users/1686558337754756265,1,0,60.49732299999988,60.49732299999988,60.49732299999988,60.49732299999988,160.0,0.0002779519525000742,0.0,60,60,60,60,60,60,60,60,60,60,60
DELETE,/staging/users/1686558338727871753,1,0,55.82834599999842,55.82834599999842,55.82834599999842,55.82834599999842,25.0,0.0002779519525000742,0.0,56,56,56,56,56,56,56,56,56,56,56
DELETE,/staging/users/1686558339220334783,1,0,62.79877099999709,62.79877099999709,62.79877099999709,62.79877099999709,25.0,0.0002779519525000742,0.0,63,63,63,63,63,63,63,63,63,63,63
PUT,/staging/users/1686558339220334783,1,0,49.240576000002534,49.240576000002534,49.240576000002534,49.240576000002534,160.0,0.0002779519525000742,0.0,49,49,49,49,49,49,49,49,49,49,49
DELETE,/staging/users/1686558345185119339,1,0,72.40652600000175,72.40652600000175,72.40652600000175,72.40652600000175,25.0,0.0002779519525000742,0.0,72,72,72,72,72,72,72,72,72,72,72
DELETE,/staging/users/1686558346653639887,1,0,48.407279999999275,48.407279999999275,48.407279999999275,48.407279999999275,25.0,0.0002779519525000742,0.0,48,48,48,48,48,48,48,48,48,48,48
PUT,/staging/users/1686558346653639887,1,0,68.60339299999652,68.60339299999652,68.60339299999652,68.60339299999652,160.0,0.0002779519525000742,0.0,69,69,69,69,69,69,69,69,69,69,69
DELETE,/staging/users/1686558350979257979,1,0,52.24586099999584,52.24586099999584,52.24586099999584,52.24586099999584,25.0,0.0002779519525000742,0.0,52,52,52,52,52,52,52,52,52,52,52
PUT,/staging/users/1686558350979257979,2,0,55,58.703253499999164,54.79485600000089,62.61165099999744,160.0,0.0005559039050001485,0.0,63,63,63,63,63,63,63,63,63,63,63
DELETE,/staging/users/1686558351710546370,1,0,51.34277800000575,51.34277800000575,51.34277800000575,51.34277800000575,25.0,0.0002779519525000742,0.0,51,51,51,51,51,51,51,51,51,51,51
PUT,/staging/users/1686558351710546370,1,0,57.19064900000603,57.19064900000603,57.19064900000603,57.19064900000603,160.0,0.0002779519525000742,0.0,57,57,57,57,57,57,57,57,57,57,57
DELETE,/staging/users/1686558353012380180,1,0,40.55488000000196,40.55488000000196,40.55488000000196,40.55488000000196,25.0,0.0002779519525000742,0.0,41,41,41,41,41,41,41,41,41,41,41
PUT,/staging/users/1686558353012380180,2,0,44,73.78419350000343,43.95733500000176,103.61105200000509,160.0,0.0005559039050001485,0.0,100,100,100,100,100,100,100,100,100,100,100
DELETE,/staging/users/1686558356222231793,1,0,67.44137900000169,67.44137900000169,67.44137900000169,67.44137900000169,25.0,0.0002779519525000742,0.0,67,67,67,67,67,67,67,67,67,67,67
DELETE,/staging/users/1686558356768917307,1,0,47.69954599999693,47.69954599999693,47.69954599999693,47.69954599999693,25.0,0.0002779519525000742,0.0,48,48,48,48,48,48,48,48,48,48,48
DELETE,/staging/users/1686558358444256886,1,0,64.2479329999901,64.2479329999901,64.2479329999901,64.2479329999901,25.0,0.0002779519525000742,0.0,64,64,64,64,64,64,64,64,64,64,64
PUT,/staging/users/1686558358444256886,4,0,51,99.8757717500034,44.24129200000948,170.33587299999908,160.0,0.001111807810000297,0.0,130,130,170,170,170,170,170,170,170,170,170
DELETE,/staging/users/1686558358860954684,1,0,40.980324000003066,40.980324000003066,40.980324000003066,40.980324000003066,25.0,0.0002779519525000742,0.0,41,41,41,41,41,41,41,41,41,41,41
DELETE,/staging/users/1686558359930392908,1,0,62.69523500000673,62.69523500000673,62.69523500000673,62.69523500000673,25.0,0.0002779519525000742,0.0,63,63,63,63,63,63,63,63,63,63,63
PUT,/staging/users/1686558359930392908,2,0,44.38605099998938,48.025448999993614,44.38605099998938,51.66484699999785,160.0,0.0005559039050001485,0.0,52,52,52,52,52,52,52,52,52,52,52
DELETE,/staging/users/1686558364735635161,1,0,66.20998299999314,66.20998299999314,66.20998299999314,66.20998299999314,25.0,0.0002779519525000742,0.0,66,66,66,66,66,66,66,66,66,66,66
DELETE,/staging/users/1686558370565010176,1,0,45.08640500000638,45.08640500000638,45.08640500000638,45.08640500000638,25.0,0.0002779519525000742,0.0,45,45,45,45,45,45,45,45,45,45,45
PUT,/staging/users/1686558370565010176,2,0,43,48.62313250000483,42.75265399999739,54.493611000012265,160.0,0.0005559039050001485,0.0,54,54,54,54,54,54,54,54,54,54,54
DELETE,/staging/users/1686558374764524055,1,0,53.22207499999365,53.22207499999365,53.22207499999365,53.22207499999365,25.0,0.0002779519525000742,0.0,53,53,53,53,53,53,53,53,53,53,53
DELETE,/staging/users/1686558376872066883,1,0,41.0757310000065,41.0757310000065,41.0757310000065,41.0757310000065,25.0,0.0002779519525000742,0.0,41,41,41,41,41,41,41,41,41,41,41
DELETE,/staging/users/1686558378850833210,1,0,68.57727099999522,68.57727099999522,68.57727099999522,68.57727099999522,25.0,0.0002779519525000742,0.0,69,69,69,69,69,69,69,69,69,69,69
DELETE,/staging/users/1686558384367007028,1,0,38.81784099999663,38.81784099999663,38.81784099999663,38.81784099999663,25.0,0.0002779519525000742,0.0,39,39,39,39,39,39,39,39,39,39,39
PUT,/staging/users/1686558384367007028,1,0,68.51257299999247,68.51257299999247,68.51257299999247,68.51257299999247,160.0,0.0002779519525000742,0.0,69,69,69,69,69,69,69,69,69,69,69
DELETE,/staging/users/1686558384953230328,1,0,58.53175100000385,58.53175100000385,58.53175100000385,58.53175100000385,25.0,0.0002779519525000742,0.0,59,59,59,59,59,59,59,59,59,59,59
PUT,/staging/users/1686558384953230328,2,0,43,145.64703100000287,42.5637760000086,248.73028599999714,160.0,0.0005559039050001485,0.0,250,250,250,250,250,250,250,250,250,250,250
DELETE,/staging/users/1686558386457537293,1,0,61.43910900000549,61.43910900000549,61.43910900000549,61.43910900000549,25.0,0.0002779519525000742,0.0,61,61,61,61,61,61,61,61,61,61,61
DELETE,/staging/users/1686558389965861493,1,0,51.191407999994,51.191407999994,51.191407999994,51.191407999994,25.0,0.0002779519525000742,0.0,51,51,51,51,51,51,51,51,51,51,51
DELETE,/staging/users/1686558390826616071,1,0,47.12213700000234,47.12213700000234,47.12213700000234,47.12213700000234,25.0,0.0002779519525000742,0.0,47,47,47,47,47,47,47,47,47,47,47
PUT,/staging/users/1686558390826616071,5,0,55,53.09509980000087,41.11839899999836,63.34519499999658,160.0,0.0013897597625003712,0.0,55,58,58,63,63,63,63,63,63,63,63
DELETE,/staging/users/1686558395264982694,1,0,55.67236599999603,55.67236599999603,55.67236599999603,55.67236599999603,25.0,0.0002779519525000742,0.0,56,56,56,56,56,56,56,56,56,56,56
PUT,/staging/users/1686558395264982694,2,0,45,52.56848349999643,44.739351000004035,60.39761599998883,160.0,0.0005559039050001485,0.0,60,60,60,60,60,60,60,60,60,60,60
DELETE,/staging/users/1686558397290882227,1,0,44.87674400000685,44.87674400000685,44.87674400000685,44.87674400000685,25.0,0.0002779519525000742,0.0,45,45,45,45,45,45,45,45,45,45,45
PUT,/staging/users/1686558397290882227,1,0,58.72531199999287,58.72531199999287,58.72531199999287,58.72531199999287,160.0,0.0002779519525000742,0.0,59,59,59,59,59,59,59,59,59,59,59
DELETE,/staging/users/1686558407473005589,1,0,55.38493400000277,55.38493400000277,55.38493400000277,55.38493400000277,25.0,0.0002779519525000742,0.0,55,55,55,55,55,55,55,55,55,55,55
DELETE,/staging/users/1686558412017667746,1,0,40.41137800000172,40.41137800000172,40.41137800000172,40.41137800000172,25.0,0.0002779519525000742,0.0,40,40,40,40,40,40,40,40,40,40,40
DELETE,/staging/users/1686558414244667660,1,0,41.964729000000034,41.964729000000034,41.964729000000034,41.964729000000034,25.0,0.0002779519525000742,0.0,42,42,42,42,42,42,42,42,42,42,42
DELETE,/staging/users/1686558414919967513,1,0,69.83764800000358,69.83764800000358,69.83764800000358,69.83764800000358,25.0,0.0002779519525000742,0.0,70,70,70,70,70,70,70,70,70,70,70
